REG,MAKE,RANGE,MODEL,DERIVATIVE,PRICE_INC_VAT,COLOUR,MILEAGE,VEHICLE_TYPE,DATE_ON_FORECOURT,IMAGES
GK08CEB,Renault,Trafic Panel,LWB,LL30 ENERGY dCi 120 Sport Nav Van,"2,673.56",BLUE,88975,LCV,2018-03-29,"https://stoneacre.test/images/GK08CEB_1.jpg,https://stoneacre.test/images/GK08CEB_2.jpg,https://stoneacre.test/images/GK08CEB_3.jpg,"
MR16SPS,Suzuki,Swift,Sport,1.4 Boosterjet Sport 5dr,"6,644.91",WHITE,5997,CAR,2018-12-02,"https://stoneacre.test/images/MR16SPS_1.jpg,https://stoneacre.test/images/MR16SPS_2.jpg,https://stoneacre.test/images/MR16SPS_3.jpg,"
TH10CCU,Peugeot,2008 SUV,Allure,1.6 e-HDi 115 Allure 5dr,"1,424.45",BLUE,81196,CAR,2020-01-26,"https://stoneacre.test/images/TH10CCU_1.jpg,https://stoneacre.test/images/TH10CCU_2.jpg,https://stoneacre.test/images/TH10CCU_3.jpg,"
FW62OYD,Jaguar,E-Pace,R-Dynamic,2.0d [240] R-Dynamic HSE 5dr Auto,"2,097.21",RED,109892,CAR,2019-01-20,"https://stoneacre.test/images/FW62OYD_1.jpg,https://stoneacre.test/images/FW62OYD_2.jpg,https://stoneacre.test/images/FW62OYD_3.jpg,"
WL56CCG,Renault,Trafic Panel,LWB,LL30 ENERGY dCi 145 Black Edition Van,"3,366.32",BLACK,109559,LCV,2020-07-06,"https://stoneacre.test/images/WL56CCG_1.jpg,https://stoneacre.test/images/WL56CCG_2.jpg,https://stoneacre.test/images/WL56CCG_3.jpg,"
MU14RLL,Volvo,V40,Inscription Edition,D3 [152] Inscription Edition 5dr Geartronic,"5,377.71",PURPLE,35238,CAR,2019-07-18,"https://stoneacre.test/images/MU14RLL_1.jpg,https://stoneacre.test/images/MU14RLL_2.jpg,https://stoneacre.test/images/MU14RLL_3.jpg,"
MD66YND,Volvo,V40,R-Design Edition,T2 [122] R-Design Edition 5dr Geartronic,"5,009.41",BLACK,43298,CAR,2019-09-11,"https://stoneacre.test/images/MD66YND_1.jpg,https://stoneacre.test/images/MD66YND_2.jpg,https://stoneacre.test/images/MD66YND_3.jpg,"
BC18QCM,Fiat,Ducato Maxi Panel Van,35 XLB LWB,2.3 Multijet Extra High Roof Van 180 Power,"6,666.61",SILVER,74340,LCV,2018-12-21,"https://stoneacre.test/images/BC18QCM_1.jpg,https://stoneacre.test/images/BC18QCM_2.jpg,https://stoneacre.test/images/BC18QCM_3.jpg,"
FW18BSP,Suzuki,Swift,SZ3,1.2 Dualjet SZ3 5dr,"1,145.34",RED,46148,CAR,2020-09-22,"https://stoneacre.test/images/FW18BSP_1.jpg,https://stoneacre.test/images/FW18BSP_2.jpg,https://stoneacre.test/images/FW18BSP_3.jpg,"
YG18POP,Renault,Captur,Dynamique S MediaNav Energy,1.5 dCi 90 Dynamique S MediaNav Energy 5dr,"6,189.68",BLACK,103655,CAR,2019-04-07,"https://stoneacre.test/images/YG18POP_1.jpg,https://stoneacre.test/images/YG18POP_2.jpg,https://stoneacre.test/images/YG18POP_3.jpg,"
RP06SDT,Suzuki,Vitara,S,1.4 Boosterjet S ALLGRIP 5dr,"7,932.17",BLUE,2821,CAR,2020-10-04,"https://stoneacre.test/images/RP06SDT_1.jpg,https://stoneacre.test/images/RP06SDT_2.jpg,https://stoneacre.test/images/RP06SDT_3.jpg,"
PT06RJY,Fiat,500,Lounge,1.2 Lounge 3dr,"5,531.31",GREY,43900,CAR,2019-05-27,"https://stoneacre.test/images/PT06RJY_1.jpg,https://stoneacre.test/images/PT06RJY_2.jpg,https://stoneacre.test/images/PT06RJY_3.jpg,"
HU66SRQ,Ford,Fiesta,Zetec,1.0 EcoBoost Zetec 5dr,"1,932.38",SILVER,31722,CAR,2020-02-24,"https://stoneacre.test/images/HU66SRQ_1.jpg,https://stoneacre.test/images/HU66SRQ_2.jpg,https://stoneacre.test/images/HU66SRQ_3.jpg,"
WL06YOT,Mitsubishi,Eclipse Cross,Dynamic,1.5 Dynamic 5dr,"3,824.26",PURPLE,29473,CAR,2019-10-22,"https://stoneacre.test/images/WL06YOT_1.jpg,https://stoneacre.test/images/WL06YOT_2.jpg,https://stoneacre.test/images/WL06YOT_3.jpg,"
QJ52NPB,Vauxhall,Adam,Jam,1.4i Jam 3dr,"7,978.05",BLUE,17064,CAR,2018-10-15,"https://stoneacre.test/images/QJ52NPB_1.jpg,https://stoneacre.test/images/QJ52NPB_2.jpg,https://stoneacre.test/images/QJ52NPB_3.jpg,"
LN68TFI,Volvo,S90,R-Design Plus,2.0 D4 R-Design Plus 4dr Geartronic,"1,667.30",WHITE,36772,CAR,2018-06-21,"https://stoneacre.test/images/LN68TFI_1.jpg,https://stoneacre.test/images/LN68TFI_2.jpg,https://stoneacre.test/images/LN68TFI_3.jpg,"
YM56YOP,Peugeot,208,Tech Edition,1.2 PureTech 82 Tech Edition 5dr [Start Stop],"4,604.18",BLACK,100035,CAR,2018-07-24,"https://stoneacre.test/images/YM56YOP_1.jpg,https://stoneacre.test/images/YM56YOP_2.jpg,https://stoneacre.test/images/YM56YOP_3.jpg,"
DK50DMR,Nissan,Micra,Vibe,1.2 Vibe 5dr,"1,855.27",BLUE,23709,CAR,2019-04-14,"https://stoneacre.test/images/DK50DMR_1.jpg,https://stoneacre.test/images/DK50DMR_2.jpg,https://stoneacre.test/images/DK50DMR_3.jpg,"
FD20JQF,Fiat,Doblo Cargo Panel Van,Sportivo,1.6 Multijet 16V 120 Sportivo Van Start Stop,"6,976.14",YELLOW,74043,LCV,2018-09-14,"https://stoneacre.test/images/FD20JQF_1.jpg,https://stoneacre.test/images/FD20JQF_2.jpg,https://stoneacre.test/images/FD20JQF_3.jpg,"
MU60KRL,Hyundai,i40,SE Nav,1.7 CRDi Blue Drive SE Nav 4dr,"2,684.72",PURPLE,81285,CAR,2018-06-21,"https://stoneacre.test/images/MU60KRL_1.jpg,https://stoneacre.test/images/MU60KRL_2.jpg,https://stoneacre.test/images/MU60KRL_3.jpg,"
SD66UHK,Volvo,S60,R-Design Edition,2.0 T5 R-Design Edition 4dr Auto,"1,435.98",PURPLE,8216,CAR,2019-12-19,"https://stoneacre.test/images/SD66UHK_1.jpg,https://stoneacre.test/images/SD66UHK_2.jpg,https://stoneacre.test/images/SD66UHK_3.jpg,"
MB12HTQ,Fiat,500X,Pop Star,1.4 Multiair Pop Star 5dr,"4,109.54",RED,112825,CAR,2020-05-28,"https://stoneacre.test/images/MB12HTQ_1.jpg,https://stoneacre.test/images/MB12HTQ_2.jpg,https://stoneacre.test/images/MB12HTQ_3.jpg,"
KL66JWU,Suzuki,Celerio,SZ2,1.0 SZ2 5dr,"6,512.13",SILVER,107310,CAR,2020-02-08,"https://stoneacre.test/images/KL66JWU_1.jpg,https://stoneacre.test/images/KL66JWU_2.jpg,https://stoneacre.test/images/KL66JWU_3.jpg,"
HE02UMI,Volvo,V60,Cross Country Lux Nav,D4 [190] Cross Country Lux Nav 5dr AWD Geartronic,"2,394.61",YELLOW,68798,CAR,2019-11-14,"https://stoneacre.test/images/HE02UMI_1.jpg,https://stoneacre.test/images/HE02UMI_2.jpg,https://stoneacre.test/images/HE02UMI_3.jpg,"
MG16XIN,Peugeot,208,Tech Edition,1.5 BlueHDi Tech Edition 5dr [5 Speed],"3,109.43",SILVER,112465,CAR,2020-01-04,"https://stoneacre.test/images/MG16XIN_1.jpg,https://stoneacre.test/images/MG16XIN_2.jpg,https://stoneacre.test/images/MG16XIN_3.jpg,"
JN18EVW,Volvo,XC60,R-Design Lux Nav,D5 [220] R DESIGN Lux Nav 5dr AWD Geartronic,"6,469.43",WHITE,113544,CAR,2020-04-13,"https://stoneacre.test/images/JN18EVW_1.jpg,https://stoneacre.test/images/JN18EVW_2.jpg,https://stoneacre.test/images/JN18EVW_3.jpg,"
TO08QOB,Suzuki,Swift,SZ3,1.2 SZ3 3dr,"3,553.53",SILVER,111508,CAR,2020-06-20,"https://stoneacre.test/images/TO08QOB_1.jpg,https://stoneacre.test/images/TO08QOB_2.jpg,https://stoneacre.test/images/TO08QOB_3.jpg,"
IH50USS,Fiat,Ducato Dropside,35 LWB,2.3 Multijet Dropside 140,"7,399.47",SILVER,100928,CAR,2019-01-08,"https://stoneacre.test/images/IH50USS_1.jpg,https://stoneacre.test/images/IH50USS_2.jpg,https://stoneacre.test/images/IH50USS_3.jpg,"
UV50BWC,Peugeot,208,Active,1.2 PureTech 82 Active 3dr,"5,801.21",BLUE,44272,CAR,2020-10-09,"https://stoneacre.test/images/UV50BWC_1.jpg,https://stoneacre.test/images/UV50BWC_2.jpg,https://stoneacre.test/images/UV50BWC_3.jpg,"
YU68PDD,Fiat,500X,Pop Star,1.4 Multiair Pop Star 5dr,"6,346.49",GREY,58692,CAR,2019-07-04,"https://stoneacre.test/images/YU68PDD_1.jpg,https://stoneacre.test/images/YU68PDD_2.jpg,https://stoneacre.test/images/YU68PDD_3.jpg,"
QY56IGS,Suzuki,Swift,SZ-T,1.0 Boosterjet SZ-T 5dr,"4,912.28",BLUE,97683,CAR,2019-02-13,"https://stoneacre.test/images/QY56IGS_1.jpg,https://stoneacre.test/images/QY56IGS_2.jpg,https://stoneacre.test/images/QY56IGS_3.jpg,"
XD64SHQ,Fiat,500X,Pop,1.6 E-torQ Pop 5dr,"7,285.89",WHITE,70806,CAR,2020-07-08,"https://stoneacre.test/images/XD64SHQ_1.jpg,https://stoneacre.test/images/XD64SHQ_2.jpg,https://stoneacre.test/images/XD64SHQ_3.jpg,"
KP52REM,Fiat,500,Lounge,1.2 Lounge 3dr,"4,863.61",BLUE,22167,CAR,2020-05-03,"https://stoneacre.test/images/KP52REM_1.jpg,https://stoneacre.test/images/KP52REM_2.jpg,https://stoneacre.test/images/KP52REM_3.jpg,"
YN14TQF,Volvo,V90,Cross Country Plus,2.0 D4 Cross Country Plus 5dr Geartronic,"1,735.91",PURPLE,73692,CAR,2020-08-17,"https://stoneacre.test/images/YN14TQF_1.jpg,https://stoneacre.test/images/YN14TQF_2.jpg,https://stoneacre.test/images/YN14TQF_3.jpg,"
XY64WUP,Honda,Jazz,EX Navi,1.3 EX Navi 5dr CVT,"4,070.84",WHITE,107055,CAR,2019-09-30,"https://stoneacre.test/images/XY64WUP_1.jpg,https://stoneacre.test/images/XY64WUP_2.jpg,https://stoneacre.test/images/XY64WUP_3.jpg,"
OQ16XER,Nissan,X-Trail,Acenta Premium,1.7 dCi Acenta Premium 5dr [7 Seat],"1,647.15",WHITE,108149,CAR,2020-03-18,"https://stoneacre.test/images/OQ16XER_1.jpg,https://stoneacre.test/images/OQ16XER_2.jpg,https://stoneacre.test/images/OQ16XER_3.jpg,"
TH08ORU,Ford,Focus,ST-Line,1.5 TDCi 120 ST-Line 5dr,"6,397.52",WHITE,77306,CAR,2018-03-25,"https://stoneacre.test/images/TH08ORU_1.jpg,https://stoneacre.test/images/TH08ORU_2.jpg,https://stoneacre.test/images/TH08ORU_3.jpg,"
NU62IJO,Vauxhall,Corsa,Energy,1.4 Energy 3dr [AC],"6,719.33",RED,57803,CAR,2018-03-09,"https://stoneacre.test/images/NU62IJO_1.jpg,https://stoneacre.test/images/NU62IJO_2.jpg,https://stoneacre.test/images/NU62IJO_3.jpg,"
MT02XJG,Fiat,500X,120th Anniversary,1.0 120th Anniversary 5dr,"4,297.95",SILVER,37234,CAR,2020-02-20,"https://stoneacre.test/images/MT02XJG_1.jpg,https://stoneacre.test/images/MT02XJG_2.jpg,https://stoneacre.test/images/MT02XJG_3.jpg,"
IW20ENF,Mazda,3 Saloon,GT Sport Tech,2.0 Skyactiv-X MHEV GT Sport Tech 4dr,"7,233.08",YELLOW,20723,CAR,2019-11-22,"https://stoneacre.test/images/IW20ENF_1.jpg,https://stoneacre.test/images/IW20ENF_2.jpg,https://stoneacre.test/images/IW20ENF_3.jpg,"
JN50UFD,Skoda,Fabia,SE L,1.0 MPI 75 SE L 5dr,"7,372.74",RED,100243,CAR,2019-10-16,"https://stoneacre.test/images/JN50UFD_1.jpg,https://stoneacre.test/images/JN50UFD_2.jpg,https://stoneacre.test/images/JN50UFD_3.jpg,"
PM02BBQ,Skoda,Yeti Outdoor,SE,2.0 TDI CR [140] SE 4x4 5dr DSG,"5,237.73",GREY,70668,CAR,2018-12-25,"https://stoneacre.test/images/PM02BBQ_1.jpg,https://stoneacre.test/images/PM02BBQ_2.jpg,https://stoneacre.test/images/PM02BBQ_3.jpg,"
IN60RME,Peugeot,308,Allure,1.5 BlueHDi 130 Allure 5dr EAT8,"7,005.30",GREY,114154,CAR,2019-08-14,"https://stoneacre.test/images/IN60RME_1.jpg,https://stoneacre.test/images/IN60RME_2.jpg,https://stoneacre.test/images/IN60RME_3.jpg,"
HL12EOB,Kia,Optima,2,1.6 CRDi ISG 2 4dr,"2,556.76",BLACK,106833,CAR,2020-01-01,"https://stoneacre.test/images/HL12EOB_1.jpg,https://stoneacre.test/images/HL12EOB_2.jpg,https://stoneacre.test/images/HL12EOB_3.jpg,"
WV66GHN,Ford,Ka+,Zetec,1.2 Zetec 5dr,"1,759.30",RED,115846,CAR,2020-11-13,"https://stoneacre.test/images/WV66GHN_1.jpg,https://stoneacre.test/images/WV66GHN_2.jpg,https://stoneacre.test/images/WV66GHN_3.jpg,"
FR04LNR,Fiat,Panda,Trussardi,1.2 Trussardi 5dr,"7,436.71",BLUE,99067,CAR,2019-07-21,"https://stoneacre.test/images/FR04LNR_1.jpg,https://stoneacre.test/images/FR04LNR_2.jpg,https://stoneacre.test/images/FR04LNR_3.jpg,"
FB50XOI,Nissan,Leaf,Tekna,80kW Tekna 24kWh 5dr Auto,"5,058.59",BLUE,53126,CAR,2020-04-03,"https://stoneacre.test/images/FB50XOI_1.jpg,https://stoneacre.test/images/FB50XOI_2.jpg,https://stoneacre.test/images/FB50XOI_3.jpg,"
LQ68TXR,Ford,Focus,ST,2.0 EcoBlue 190 ST 5dr,"2,195.73",PURPLE,18007,CAR,2019-09-25,"https://stoneacre.test/images/LQ68TXR_1.jpg,https://stoneacre.test/images/LQ68TXR_2.jpg,https://stoneacre.test/images/LQ68TXR_3.jpg,"
PP64QEB,Vauxhall,Corsa,SE,1.4 ecoFLEX SE 5dr,"7,211.58",SILVER,2031,CAR,2018-06-19,"https://stoneacre.test/images/PP64QEB_1.jpg,https://stoneacre.test/images/PP64QEB_2.jpg,https://stoneacre.test/images/PP64QEB_3.jpg,"
XB02HHF,Nissan,Qashqai,Acenta Premium,1.3 DiG-T Acenta Premium 5dr,"5,841.40",PURPLE,37337,CAR,2018-08-21,"https://stoneacre.test/images/XB02HHF_1.jpg,https://stoneacre.test/images/XB02HHF_2.jpg,https://stoneacre.test/images/XB02HHF_3.jpg,"
EF04FGV,Fiat,Ducato Panel Van,35 LWB,2.3 Multijet High Roof Van 160 Auto,"6,335.21",YELLOW,83864,LCV,2020-02-10,"https://stoneacre.test/images/EF04FGV_1.jpg,https://stoneacre.test/images/EF04FGV_2.jpg,https://stoneacre.test/images/EF04FGV_3.jpg,"
CG64SWN,Suzuki,Vitara,SZ5,1.4 Boosterjet SZ5 ALLGRIP 5dr Auto,"5,521.13",GREY,48174,CAR,2018-08-15,"https://stoneacre.test/images/CG64SWN_1.jpg,https://stoneacre.test/images/CG64SWN_2.jpg,https://stoneacre.test/images/CG64SWN_3.jpg,"
TM62GCV,Fiat,500,Lounge,1.2 Lounge 3dr,"6,847.60",WHITE,86346,CAR,2018-10-30,"https://stoneacre.test/images/TM62GCV_1.jpg,https://stoneacre.test/images/TM62GCV_2.jpg,https://stoneacre.test/images/TM62GCV_3.jpg,"
QF12GHE,BMW,2-Series,M Sport,218d M Sport 5dr,"4,823.71",SILVER,42317,CAR,2019-10-05,"https://stoneacre.test/images/QF12GHE_1.jpg,https://stoneacre.test/images/QF12GHE_2.jpg,https://stoneacre.test/images/QF12GHE_3.jpg,"
WE54ROM,Alfa Romeo,Giulietta,Base,1.4 TB 5dr,"6,990.34",YELLOW,9139,CAR,2020-06-27,"https://stoneacre.test/images/WE54ROM_1.jpg,https://stoneacre.test/images/WE54ROM_2.jpg,https://stoneacre.test/images/WE54ROM_3.jpg,"
UV50DIU,Hyundai,i10,SE,Hyundai i10 SE 1.0 5dr,"3,425.92",SILVER,48893,CAR,2020-02-24,"https://stoneacre.test/images/UV50DIU_1.jpg,https://stoneacre.test/images/UV50DIU_2.jpg,https://stoneacre.test/images/UV50DIU_3.jpg,"
GB58TMM,Peugeot,Expert Panel,Long,1200 1.6 BlueHDi 95 Professional Van,"4,914.73",BLUE,88910,LCV,2019-08-28,"https://stoneacre.test/images/GB58TMM_1.jpg,https://stoneacre.test/images/GB58TMM_2.jpg,https://stoneacre.test/images/GB58TMM_3.jpg,"
HS14YVQ,Volvo,V40,R-Design Edition,T2 [122] R-Design Edition 5dr Geartronic,"2,748.13",BLACK,84624,CAR,2018-09-27,"https://stoneacre.test/images/HS14YVQ_1.jpg,https://stoneacre.test/images/HS14YVQ_2.jpg,https://stoneacre.test/images/HS14YVQ_3.jpg,"
HY16EVW,SEAT,Arona,FR Sport,1.0 TSI 115 FR Sport [EZ] 5dr DSG,"2,407.78",BLACK,82321,CAR,2019-12-15,"https://stoneacre.test/images/HY16EVW_1.jpg,https://stoneacre.test/images/HY16EVW_2.jpg,https://stoneacre.test/images/HY16EVW_3.jpg,"
CC66LCW,Fiat,500X,City Cross,1.0 City Cross 5dr,"3,378.37",YELLOW,100379,CAR,2018-08-03,"https://stoneacre.test/images/CC66LCW_1.jpg,https://stoneacre.test/images/CC66LCW_2.jpg,https://stoneacre.test/images/CC66LCW_3.jpg,"
GF50VVX,Audi,A1,Sport,30 TFSI Sport 5dr,"2,249.46",SILVER,43517,CAR,2019-10-09,"https://stoneacre.test/images/GF50VVX_1.jpg,https://stoneacre.test/images/GF50VVX_2.jpg,https://stoneacre.test/images/GF50VVX_3.jpg,"
DU66HYH,Ford,Focus,Titanium,1.5 EcoBlue 120 Titanium 5dr,"7,297.64",YELLOW,69737,CAR,2019-09-23,"https://stoneacre.test/images/DU66HYH_1.jpg,https://stoneacre.test/images/DU66HYH_2.jpg,https://stoneacre.test/images/DU66HYH_3.jpg,"
RK62NFJ,BMW,1-Series,M Sport,125d M Sport 3dr,"2,022.56",BLUE,20637,CAR,2020-02-20,"https://stoneacre.test/images/RK62NFJ_1.jpg,https://stoneacre.test/images/RK62NFJ_2.jpg,https://stoneacre.test/images/RK62NFJ_3.jpg,"
VC66ICC,Volkswagen,Touareg,R-Line Tech,3.0 V6 TDI 4Motion R Line Tech 5dr Tip Auto,"5,074.57",YELLOW,55357,CAR,2020-11-07,"https://stoneacre.test/images/VC66ICC_1.jpg,https://stoneacre.test/images/VC66ICC_2.jpg,https://stoneacre.test/images/VC66ICC_3.jpg,"
LT66QJC,Vauxhall,Mokka X,Design Nav,1.6CDTi [136] Design Nav 5dr,"3,377.43",GREY,23924,CAR,2019-08-08,"https://stoneacre.test/images/LT66QJC_1.jpg,https://stoneacre.test/images/LT66QJC_2.jpg,https://stoneacre.test/images/LT66QJC_3.jpg,"
HR66XEK,BMW,X1,M Sport,xDrive 25d M Sport 5dr Step Auto,"1,570.47",RED,88294,CAR,2018-06-25,"https://stoneacre.test/images/HR66XEK_1.jpg,https://stoneacre.test/images/HR66XEK_2.jpg,https://stoneacre.test/images/HR66XEK_3.jpg,"
QX08MXE,Lexus,CT,SE-L Premier,200h 1.8 SE-L Premier 5dr CVT Auto,"3,593.01",RED,79549,CAR,2019-06-18,"https://stoneacre.test/images/QX08MXE_1.jpg,https://stoneacre.test/images/QX08MXE_2.jpg,https://stoneacre.test/images/QX08MXE_3.jpg,"
GC14PVI,Vauxhall,Viva,SE,1.0 SE 5dr,"6,564.12",BLUE,103935,CAR,2020-01-19,"https://stoneacre.test/images/GC14PVI_1.jpg,https://stoneacre.test/images/GC14PVI_2.jpg,https://stoneacre.test/images/GC14PVI_3.jpg,"
QF14KEQ,Renault,Trafic Panel,LWB,LL30 ENERGY dCi 145 Sport Nav Van,"1,739.86",WHITE,42187,LCV,2018-05-18,"https://stoneacre.test/images/QF14KEQ_1.jpg,https://stoneacre.test/images/QF14KEQ_2.jpg,https://stoneacre.test/images/QF14KEQ_3.jpg,"
LU18IFQ,Citroen,Dispatch Panel Van,M,1400 2.0 BlueHDi 150 Van Driver,"5,998.50",BLACK,40456,LCV,2018-03-17,"https://stoneacre.test/images/LU18IFQ_1.jpg,https://stoneacre.test/images/LU18IFQ_2.jpg,https://stoneacre.test/images/LU18IFQ_3.jpg,"
EV06WFG,BMW,4-Series,M Sport,420d [190] M Sport 5dr Auto [Professional Media],"1,272.18",SILVER,31398,CAR,2019-12-30,
XS62BUL,Vauxhall,Astra,SRI,1.4T 16V 150 SRi 5dr,"5,257.09",SILVER,92259,CAR,2020-05-25,"https://stoneacre.test/images/XS62BUL_1.jpg,https://stoneacre.test/images/XS62BUL_2.jpg,https://stoneacre.test/images/XS62BUL_3.jpg,"
QM50IEM,Kia,Venga,3,1.6 CRDi ISG 3 5dr,"1,402.90",BLUE,37286,CAR,2020-01-16,"https://stoneacre.test/images/QM50IEM_1.jpg,https://stoneacre.test/images/QM50IEM_2.jpg,https://stoneacre.test/images/QM50IEM_3.jpg,"
TK62YHE,Volkswagen,Polo,Match,1.0 Match 3dr,"6,153.22",WHITE,110829,CAR,2019-06-23,"https://stoneacre.test/images/TK62YHE_1.jpg,https://stoneacre.test/images/TK62YHE_2.jpg,https://stoneacre.test/images/TK62YHE_3.jpg,"
